Date,Signal,DayReturn,TradeCost,PnL,Equity,Regime
2017-12-07,1,0.2524716942763181,0.001,0.2514716942763181,0.9709677629460591,3|0
2017-12-08,1,-0.0743196191102198,0.0,-0.0743196191102198,0.8988058086356059,3|0
2017-12-09,1,-0.083962012053233,0.0,-0.083962012053233,0.8233402644974274,3|0
2017-12-10,1,0.0182630477754608,0.0,0.0182630477754608,0.8383769670834045,3|0
2017-12-11,1,0.0958500170285845,0.0,0.0958500170285845,0.9187354136547219,3|0
2017-12-12,1,0.0282579700591882,0.0,0.0282579700591882,0.944697011466093,3|0
2017-12-13,1,-0.0578339371638675,0.0,-0.0578339371638675,0.8900614638660695,3|0
2017-12-14,1,0.009495300439305,0.0,0.009495300439305,0.8985128648749255,3|0
2017-12-15,1,0.0689990576325163,0.0,0.0689990576325163,0.9605094058219878,3|0
2017-12-16,1,0.1011187706769949,0.0,0.1011187706769949,1.057634936162398,3|0
2017-12-17,1,-0.0182895977017769,0.0,-0.0182895977017769,1.0382912186646434,3|0
2017-12-18,1,-0.0013897831550526,0.0,-0.0013897831550526,1.0368482190189043,3|0
2017-12-19,1,-0.0699741582000456,0.0,-0.0699741582000456,0.96429563771184,3|0
2017-12-20,1,-0.0648095349534755,0.0,-0.0648095349534755,0.9018000858740706,3|0
2017-12-21,1,-0.049426707292645,0.0,-0.049426707292645,0.8572270769930908,3|0
2017-12-22,1,-0.1247303050208964,0.0,-0.1247303050208964,0.7503048822075711,3|0
2017-12-23,1,0.0627105946350556,0.0,0.0627105946350556,0.7973569475283933,3|0
2017-12-24,1,-0.0526151341806769,0.0,-0.0526151341806769,0.7554039047442919,3|0
2017-12-25,1,0.0072383494019188,0.0,0.0072383494019188,0.7608717821464048,3|0
2017-12-26,1,0.1478049030448427,0.0,0.1478049030448427,0.8733323621361109,3|0
2017-12-27,1,-0.016230003345223,0.0,-0.016230003345223,0.8591581749771503,3|0
2017-12-28,1,-0.0777851437951826,0.0,-0.0777851437951826,0.792328432793746,3|0
2017-12-29,1,0.0034026081068359,0.0,0.0034026081068359,0.7950244159424465,3|0
2017-12-30,1,-0.1162647874136566,0.0,-0.1162647874136566,0.7025910712342315,3|0
2017-12-31,1,0.0929726360891418,0.0,0.0929726360891418,0.767912815219572,3|0
2018-01-01,1,-0.0352632153328392,0.0,-0.0352632153328392,0.7408337402596376,3|0
2018-01-02,1,0.0970110560814097,0.0,0.0970110560814097,0.8127028037829658,3|0
2018-01-03,1,0.0146107953045528,0.0,0.0146107953045528,0.824577038092475,3|0
2018-01-04,1,0.026195657872015,0.0,0.026195657872015,0.8461773760714649,3|0
2018-01-05,1,0.1173329261610154,0.0,0.1173329261610154,0.9454618436571799,3|0
2018-01-06,1,0.0055939642560027,0.0,0.0055939642560027,0.9507507234160126,3|0
2018-01-07,1,-0.059873360565128,0.0,-0.059873360565128,0.8938260825453694,3|0
2018-01-08,1,-0.0793501499609259,0.0,-0.0793501499609259,0.8229008488564075,3|0
2018-01-09,1,-0.0378836812907175,0.0,-0.0378836812907175,0.7917263353644705,3|0
