2025-12-07 13:31:44 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2124, retrain forced=True, regime_changed=True
2025-12-07 13:31:44 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2137, retrain forced=True, regime_changed=True
2025-12-07 13:31:44 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2416, retrain forced=True, regime_changed=True
2025-12-07 13:31:44 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2417, retrain forced=True, regime_changed=True
2025-12-07 13:31:45 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2520, retrain forced=True, regime_changed=True
2025-12-07 13:31:45 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2528, retrain forced=True, regime_changed=True
2025-12-07 13:31:45 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2622, retrain forced=True, regime_changed=True
2025-12-07 13:31:45 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2623, retrain forced=True, regime_changed=True
2025-12-07 13:31:45 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2633, retrain forced=True, regime_changed=True
2025-12-07 13:31:45 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2635, retrain forced=True, regime_changed=True
2025-12-07 13:31:46 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2655, retrain forced=True, regime_changed=True
2025-12-07 13:31:46 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2658, retrain forced=True, regime_changed=True
2025-12-07 13:31:46 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2665, retrain forced=True, regime_changed=True
2025-12-07 13:31:46 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2666, retrain forced=True, regime_changed=True
2025-12-07 13:31:46 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2669, retrain forced=True, regime_changed=True
2025-12-07 13:31:46 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2673, retrain forced=True, regime_changed=True
2025-12-07 13:31:46 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2675, retrain forced=True, regime_changed=True
2025-12-07 13:31:46 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2681, retrain forced=True, regime_changed=True
2025-12-07 13:31:46 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2685, retrain forced=True, regime_changed=True
2025-12-07 13:31:47 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2691, retrain forced=True, regime_changed=True
2025-12-07 13:31:47 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2692, retrain forced=True, regime_changed=True
2025-12-07 13:31:47 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2704, retrain forced=True, regime_changed=True
2025-12-07 13:31:47 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2705, retrain forced=True, regime_changed=True
2025-12-07 13:31:47 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2706, retrain forced=True, regime_changed=True
2025-12-07 13:31:47 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2708, retrain forced=True, regime_changed=True
2025-12-07 13:31:47 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2733, retrain forced=True, regime_changed=True
2025-12-07 13:31:48 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2737, retrain forced=True, regime_changed=True
2025-12-07 13:31:48 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2742, retrain forced=True, regime_changed=True
2025-12-07 13:31:48 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2743, retrain forced=True, regime_changed=True
2025-12-07 13:31:48 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2751, retrain forced=True, regime_changed=True
2025-12-07 13:31:48 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2753, retrain forced=True, regime_changed=True
2025-12-07 13:31:48 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2762, retrain forced=True, regime_changed=True
2025-12-07 13:31:48 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2763, retrain forced=True, regime_changed=True
2025-12-07 13:31:48 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2768, retrain forced=True, regime_changed=True
2025-12-07 13:31:49 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2769, retrain forced=True, regime_changed=True
2025-12-07 13:31:49 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2810, retrain forced=True, regime_changed=True
2025-12-07 13:31:49 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2811, retrain forced=True, regime_changed=True
2025-12-07 13:31:49 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2822, retrain forced=True, regime_changed=True
2025-12-07 13:31:49 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2823, retrain forced=True, regime_changed=True
2025-12-07 13:31:49 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2829, retrain forced=True, regime_changed=True
2025-12-07 13:31:49 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2834, retrain forced=True, regime_changed=True
2025-12-07 13:31:50 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2839, retrain forced=True, regime_changed=True
2025-12-07 13:31:50 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2840, retrain forced=True, regime_changed=True
2025-12-07 13:31:50 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2843, retrain forced=True, regime_changed=True
2025-12-07 13:31:50 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2844, retrain forced=True, regime_changed=True
2025-12-07 13:31:50 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2866, retrain forced=True, regime_changed=True
2025-12-07 13:31:50 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2867, retrain forced=True, regime_changed=True
2025-12-07 13:31:50 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2870, retrain forced=True, regime_changed=True
2025-12-07 13:31:50 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2871, retrain forced=True, regime_changed=True
2025-12-07 13:31:51 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2878, retrain forced=True, regime_changed=True
2025-12-07 13:31:51 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2881, retrain forced=True, regime_changed=True
2025-12-07 13:31:51 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2887, retrain forced=True, regime_changed=True
2025-12-07 13:31:51 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2890, retrain forced=True, regime_changed=True
2025-12-07 13:31:51 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2893, retrain forced=True, regime_changed=True
2025-12-07 13:31:51 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2895, retrain forced=True, regime_changed=True
2025-12-07 13:31:51 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2916, retrain forced=True, regime_changed=True
2025-12-07 13:31:51 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2918, retrain forced=True, regime_changed=True
2025-12-07 13:31:52 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2927, retrain forced=True, regime_changed=True
2025-12-07 13:31:52 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2928, retrain forced=True, regime_changed=True
2025-12-07 13:31:52 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2951, retrain forced=True, regime_changed=True
