2025-12-04 21:48:17 | INFO | walk_forward_engine | Trained new global model at idx 1440, retrain forced=True, regime_changed=True
2025-12-04 21:48:17 | INFO | walk_forward_engine | Trained new global model at idx 1501, retrain forced=True, regime_changed=True
2025-12-04 21:48:17 | INFO | walk_forward_engine | Trained new global model at idx 1580, retrain forced=True, regime_changed=True
2025-12-04 21:48:17 | INFO | walk_forward_engine | Trained new global model at idx 1586, retrain forced=True, regime_changed=True
2025-12-04 21:48:17 | INFO | walk_forward_engine | Trained new global model at idx 1595, retrain forced=True, regime_changed=True
2025-12-04 21:48:18 | INFO | walk_forward_engine | Trained new global model at idx 1970, retrain forced=True, regime_changed=True
2025-12-04 21:48:18 | INFO | walk_forward_engine | Trained new global model at idx 1986, retrain forced=True, regime_changed=True
2025-12-04 21:48:18 | INFO | walk_forward_engine | Trained new global model at idx 1993, retrain forced=True, regime_changed=True
2025-12-04 21:48:18 | INFO | walk_forward_engine | Trained new global model at idx 2019, retrain forced=True, regime_changed=True
2025-12-04 21:48:18 | INFO | walk_forward_engine | Trained new global model at idx 2030, retrain forced=True, regime_changed=True
2025-12-04 21:48:18 | INFO | walk_forward_engine | Trained new global model at idx 2159, retrain forced=True, regime_changed=True
2025-12-04 21:48:18 | INFO | walk_forward_engine | Trained new global model at idx 2218, retrain forced=True, regime_changed=True
2025-12-04 21:48:18 | INFO | walk_forward_engine | Trained new global model at idx 2363, retrain forced=True, regime_changed=True
2025-12-04 21:48:18 | INFO | walk_forward_engine | Trained new global model at idx 2378, retrain forced=True, regime_changed=True
2025-12-04 21:48:18 | INFO | walk_forward_engine | Trained new global model at idx 2501, retrain forced=True, regime_changed=True
2025-12-04 21:48:19 | INFO | walk_forward_engine | Trained new global model at idx 2592, retrain forced=True, regime_changed=True
2025-12-04 21:48:19 | INFO | walk_forward_engine | Trained new global model at idx 2636, retrain forced=True, regime_changed=True
2025-12-04 21:48:19 | INFO | walk_forward_engine | Trained new global model at idx 2682, retrain forced=True, regime_changed=True
2025-12-04 21:48:19 | INFO | walk_forward_engine | Trained new global model at idx 2736, retrain forced=True, regime_changed=True
2025-12-04 21:48:19 | INFO | walk_forward_engine | Trained new global model at idx 2741, retrain forced=True, regime_changed=True
2025-12-04 21:48:19 | INFO | walk_forward_engine | Trained new global model at idx 2756, retrain forced=True, regime_changed=True
2025-12-04 21:48:19 | INFO | walk_forward_engine | Trained new global model at idx 2763, retrain forced=True, regime_changed=True
2025-12-04 21:48:19 | INFO | walk_forward_engine | Trained new global model at idx 2945, retrain forced=True, regime_changed=True
2025-12-04 21:48:19 | INFO | walk_forward_engine | Trained new global model at idx 2947, retrain forced=True, regime_changed=True
2025-12-04 21:48:19 | INFO | walk_forward_engine | Trained new global model at idx 2965, retrain forced=True, regime_changed=True
2025-12-04 21:48:19 | INFO | walk_forward_engine | Trained new global model at idx 2980, retrain forced=True, regime_changed=True
2025-12-04 21:48:20 | INFO | walk_forward_engine | Trained new global model at idx 3227, retrain forced=True, regime_changed=True
2025-12-04 21:48:20 | INFO | walk_forward_engine | Trained new global model at idx 3280, retrain forced=True, regime_changed=True
2025-12-04 21:48:20 | INFO | walk_forward_engine | Trained new global model at idx 3613, retrain forced=True, regime_changed=True
2025-12-04 21:48:20 | INFO | walk_forward_engine | Trained new global model at idx 3625, retrain forced=True, regime_changed=True
2025-12-04 21:48:20 | INFO | walk_forward_engine | Trained new global model at idx 3716, retrain forced=True, regime_changed=True
2025-12-04 21:48:21 | INFO | walk_forward_engine | Saved signals to results\signals_SPY.csv
2025-12-04 21:48:21 | INFO | walk_forward_engine | Saved equity curve to results\equity_curve_SPY.csv
2025-12-04 21:48:21 | INFO | walk_forward_engine | Saved backtest log to results\backtest_log_SPY.json
2025-12-04 21:48:21 | INFO | walk_forward_engine | ===== WALK-FORWARD BACKTEST ENGINE FINISHED =====
